asset_id,asset_name,asset_type,owner_name,owner_ticker,owner_match_confidence,development_phase,indications,score,score_drivers,source_name,source_id,source_url,published_at,patent_expiry,exclusivity_expiry,metadata
e69865d81daf4e87228f,ABACAVIR SULFATE,approved_small_molecule,AUROBINDO PHARMA LTD,,0.0,approved,[],31.75,"[""FDA-listed marketed product"", ""generic application"", ""no unexpired listed patent/exclusivity found"", ""moderate listed competition (6 applicants)""]",FDA Orange Book,"077844,077950",https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files,,,,"{""applicant_count_for_ingredient"": 6, ""application_types"": [""A""], ""is_reference_drug"": false, ""patent_count"": 0, ""routes"": [""SOLUTION;ORAL"", ""TABLET;ORAL""], ""trade_names"": [""ABACAVIR SULFATE""]}"
6288e2a3b28dc462f131,ABACAVIR SULFATE,approved_small_molecule,CHARTWELL RX SCIENCES LLC,,0.0,approved,[],30.73,"[""FDA-listed marketed product"", ""generic application"", ""no unexpired listed patent/exclusivity found"", ""moderate listed competition (6 applicants)""]",FDA Orange Book,091050,https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files,,,,"{""applicant_count_for_ingredient"": 6, ""application_types"": [""A""], ""is_reference_drug"": false, ""patent_count"": 0, ""routes"": [""TABLET;ORAL""], ""trade_names"": [""ABACAVIR SULFATE""]}"
1ec3f0b7c0b9cbdc3a74,ABACAVIR SULFATE,approved_small_molecule,CIPLA LTD,,0.0,approved,[],30.73,"[""FDA-listed marketed product"", ""generic application"", ""no unexpired listed patent/exclusivity found"", ""moderate listed competition (6 applicants)""]",FDA Orange Book,078119,https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files,,,,"{""applicant_count_for_ingredient"": 6, ""application_types"": [""A""], ""is_reference_drug"": false, ""patent_count"": 0, ""routes"": [""TABLET;ORAL""], ""trade_names"": [""ABACAVIR SULFATE""]}"
9b3445878db01604b3b3,ABACAVIR SULFATE,approved_small_molecule,HETERO LABS LTD UNIT III,,0.0,approved,[],31.75,"[""FDA-listed marketed product"", ""generic application"", ""no unexpired listed patent/exclusivity found"", ""moderate listed competition (6 applicants)""]",FDA Orange Book,"091560,201107",https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files,,,,"{""applicant_count_for_ingredient"": 6, ""application_types"": [""A""], ""is_reference_drug"": false, ""patent_count"": 0, ""routes"": [""SOLUTION;ORAL"", ""TABLET;ORAL""], ""trade_names"": [""ABACAVIR SULFATE""]}"
c3d7eb980c03b4ba8c6b,ABACAVIR SULFATE,approved_small_molecule,MYLAN PHARMACEUTICALS INC,,0.0,approved,[],30.73,"[""FDA-listed marketed product"", ""generic application"", ""no unexpired listed patent/exclusivity found"", ""moderate listed competition (6 applicants)""]",FDA Orange Book,091294,https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files,,,,"{""applicant_count_for_ingredient"": 6, ""application_types"": [""A""], ""is_reference_drug"": false, ""patent_count"": 0, ""routes"": [""TABLET;ORAL""], ""trade_names"": [""ABACAVIR SULFATE""]}"
74be9f8f71957b975fda,ABACAVIR SULFATE,approved_small_molecule,VIIV HEALTHCARE CO,,0.0,approved,[],48.73,"[""FDA-listed marketed product"", ""innovator/reference application"", ""no unexpired listed patent/exclusivity found"", ""moderate listed competition (6 applicants)""]",FDA Orange Book,020978,https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files,,,,"{""applicant_count_for_ingredient"": 6, ""application_types"": [""N""], ""is_reference_drug"": true, ""patent_count"": 0, ""routes"": [""SOLUTION;ORAL""], ""trade_names"": [""ZIAGEN""]}"
3a380be36d9692d724ab,ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,approved_small_molecule,VIIV HEALTHCARE CO,,0.0,approved,[],70.06,"[""FDA-listed marketed product"", ""innovator/reference application"", ""3.9 years of listed protection"", ""single listed applicant for ingredient""]",FDA Orange Book,"205551,215413",https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files,,2030-06-08,2026-12-15,"{""applicant_count_for_ingredient"": 1, ""application_types"": [""N""], ""is_reference_drug"": true, ""patent_count"": 4, ""routes"": [""TABLET, FOR SUSPENSION;ORAL"", ""TABLET;ORAL""], ""trade_names"": [""TRIUMEQ"", ""TRIUMEQ PD""]}"
9d6f28a28998e84e72b2,ABACAVIR SULFATE; LAMIVUDINE,approved_small_molecule,AUROBINDO PHARMA LTD,,0.0,approved,[],30.73,"[""FDA-listed marketed product"", ""generic application"", ""no unexpired listed patent/exclusivity found"", ""moderate listed competition (5 applicants)""]",FDA Orange Book,090159,https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files,,,,"{""applicant_count_for_ingredient"": 5, ""application_types"": [""A""], ""is_reference_drug"": false, ""patent_count"": 0, ""routes"": [""TABLET;ORAL""], ""trade_names"": [""ABACAVIR SULFATE AND LAMIVUDINE""]}"
8a164ea58a30053033ed,ABACAVIR SULFATE; LAMIVUDINE,approved_small_molecule,CHARTWELL RX SCIENCES LLC,,0.0,approved,[],30.73,"[""FDA-listed marketed product"", ""generic application"", ""no unexpired listed patent/exclusivity found"", ""moderate listed competition (5 applicants)""]",FDA Orange Book,204990,https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files,,,,"{""applicant_count_for_ingredient"": 5, ""application_types"": [""A""], ""is_reference_drug"": false, ""patent_count"": 0, ""routes"": [""TABLET;ORAL""], ""trade_names"": [""ABACAVIR SULFATE AND LAMIVUDINE""]}"
46d95c22aa689aa9f0a0,ABACAVIR SULFATE; LAMIVUDINE,approved_small_molecule,CIPLA LTD,,0.0,approved,[],30.73,"[""FDA-listed marketed product"", ""generic application"", ""no unexpired listed patent/exclusivity found"", ""moderate listed competition (5 applicants)""]",FDA Orange Book,091144,https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files,,,,"{""applicant_count_for_ingredient"": 5, ""application_types"": [""A""], ""is_reference_drug"": false, ""patent_count"": 0, ""routes"": [""TABLET;ORAL""], ""trade_names"": [""ABACAVIR SULFATE AND LAMIVUDINE""]}"
